"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude"
"1479","Bentleigh East","32a Argyle St",3,"t",920000,"S","Buxton","16/04/2016",13.9,3165,3,2,1,343,146.861538586252,1970,"Glen Eira",-37.9112,145.0738
"1480","Bentleigh East","12 Barrani St",3,"h",1050000,"S","Woodards","16/04/2016",13.9,3165,3,1,4,726,131,1950,"Glen Eira",-37.9117,145.0695
"1481","Bentleigh East","45 Browns Rd",3,"h",1560000,"S","Woodards","16/04/2016",13.9,3165,3,1,2,841,146.861538586252,1970,"Glen Eira",-37.9217,145.056
"1482","Bentleigh East","69a Deakin St",3,"h",1e+06,"VB","Woodards","16/04/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1483","Bentleigh East","25 Glover St",4,"h",8e+05,"PI","Hodges","16/04/2016",13.9,3165,4,2,2,601,146.861538586252,1970,"Glen Eira",-37.9278,145.081
"1484","Bentleigh East","21 Highview Rd",2,"h",722000,"S","Buxton","16/04/2016",13.9,3165,2,2,1,201,79,2005,"Glen Eira",-37.9293,145.0657
"1485","Bentleigh East","18 Normanby Rd",3,"h",930000,"SP","Buxton","16/04/2016",13.9,3165,3,1,2,588,133,1960,"Glen Eira",-37.9286,145.069
"1486","Bentleigh East","6/48 Pasadena Cr",3,"h",780000,"S","Buxton","16/04/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1487","Bentleigh East","93 Tudor St",3,"h",921000,"S","Buxton","16/04/2016",13.9,3165,3,2,1,291,119,2000,"Glen Eira",-37.919,145.0829
"1488","Bentleigh East","23 York St",4,"h",1035000,"PI","First","16/04/2016",13.9,3165,3,1,2,610,160,1950,"Glen Eira",-37.9193,145.0691
"1489","Bentleigh East","2/34 Adrian St",3,"u",720000,"PI","Gary","16/07/2016",13.9,3165,3,2,1,228,146.861538586252,1996,"Glen Eira",-37.9329,145.0617
"1490","Bentleigh East","18 Dega Av",4,"h",1108000,"S","Woodards","16/07/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1491","Bentleigh East","20 Elizabeth St",3,"h",1185000,"S","hockingstuart","16/07/2016",13.9,3165,3,1,2,618,146.861538586252,1970,"Glen Eira",-37.9228,145.0527
"1492","Bentleigh East","7 England St",4,"h",1352000,"S","hockingstuart","16/07/2016",13.9,3165,4,2,2,618,196,1950,"Glen Eira",-37.9252,145.0562
"1493","Bentleigh East","11b Lilac St",4,"t",1005000,"SP","Woodards","16/07/2016",13.9,3165,4,2,2,296,205,2006,"Glen Eira",-37.9197,145.057
"1494","Bentleigh East","53 Molden St",2,"u",761000,"S","Ray","16/07/2016",13.9,3165,2,1,2,282,146.861538586252,1970,"Glen Eira",-37.9073,145.0599
"1496","Bentleigh East","2/95 Victor Rd",2,"u",765000,"S","Woodards","16/07/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1497","Bentleigh East","26 Almurta Rd",3,"h",1200000,"S","hockingstuart","17/09/2016",13.9,3165,3,1,1,721,120,1970,"Glen Eira",-37.9244,145.0665
"1498","Bentleigh East","35b Barrani St",4,"t",1076960.67115367,"S","Buxton","17/09/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1500","Bentleigh East","1/57 Brooks St",3,"h",780000,"PI","Buxton","17/09/2016",13.9,3165,3,2,2,421,126,1950,"Glen Eira",-37.9168,145.0809
"1501","Bentleigh East","48a Celia St",4,"t",1250000,"PI","Buxton","17/09/2016",13.9,3165,4,2,2,314,231,2010,"Glen Eira",-37.9299,145.0598
"1502","Bentleigh East","30 Chauvel St",3,"h",750000,"PI","Buxton","17/09/2016",13.9,3165,3,2,1,337,146.861538586252,1970,"Glen Eira",-37.9115,145.0844
"1503","Bentleigh East","36 Kennedy St",3,"h",1300000,"S","Woodards","17/09/2016",13.9,3165,3,1,4,746,146.861538586252,1970,"Glen Eira",-37.9198,145.0787
"1505","Bentleigh East","8 Leo St",4,"h",1110000,"S","Buxton","17/09/2016",13.9,3165,4,2,2,583,176,1960,"Glen Eira",-37.9262,145.0624
"1506","Bentleigh East","42 Marlborough St",2,"u",835000,"S","Woodards","17/09/2016",13.9,3165,2,2,1,362,146.861538586252,1970,"Glen Eira",-37.9149,145.0676
"1507","Bentleigh East","11 Moylan St",4,"h",1690000,"S","Gary","17/09/2016",13.9,3165,4,2,2,700,165,1950,"Glen Eira",-37.9117,145.0534
"1508","Bentleigh East","42 Paloma St",3,"u",791000,"S","Woodards","17/09/2016",13.9,3165,3,3,1,391,122,1950,"Glen Eira",-37.9149,145.0788
"1509","Bentleigh East","601 South Rd",3,"h",9e+05,"VB","Beller","17/09/2016",13.9,3165,3,1,3,780,140,1940,"Glen Eira",-37.9347,145.0507
"1510","Bentleigh East","1/51 Valkstone St",3,"h",1189000,"S","hockingstuart","17/09/2016",13.9,3165,4,2,2,337,146.861538586252,2010,"Glen Eira",-37.9144,145.0582
"1511","Bentleigh East","75 Victor Rd",3,"t",825000,"S","hockingstuart","17/09/2016",13.9,3165,3,1,1,642,146.861538586252,1970,"Glen Eira",-37.9269,145.0787
"1513","Bentleigh East","2/11 Francesco St",3,"t",1030000,"S","Buxton","18/03/2017",13.9,3165,3,2,2,327,146.861538586252,1970,"Glen Eira",-37.9195,145.0555
"1514","Bentleigh East","2/40 Francesco St",3,"t",970000,"S","Matthew","18/03/2017",13.9,3165,3,2,2,267,156,2000,"Glen Eira",-37.9176,145.0566
"1515","Bentleigh East","16 Greenview Ct",3,"h",930000,"S","hockingstuart","18/03/2017",13.9,3165,3,1,2,580,146.861538586252,1970,"Glen Eira",-37.9369,145.0751
"1516","Bentleigh East","8 Haigh St",4,"h",1076960.67115367,"SN","Ray","18/03/2017",13.9,3165,4,2,2,572,146.861538586252,1970,"Glen Eira",-37.9287,145.0792
"1517","Bentleigh East","5 Malane St",4,"h",1510000,"SP","C21","18/03/2017",13.9,3165,4,2,2,640,146.861538586252,1970,"Glen Eira",-37.9198,145.0545
"1519","Bentleigh East","2/1 Mervin St",3,"t",1240000,"S","Buxton","18/03/2017",13.9,3165,3,2,2,518,146.861538586252,1970,"Glen Eira",-37.9316,145.0542
"1520","Bentleigh East","1002 North Rd",3,"h",823000,"S","C21","18/03/2017",13.9,3165,3,2,2,213,143,2003,"Glen Eira",-37.9079,145.0707
"1521","Bentleigh East","27 Parkmore Rd",4,"h",1310000,"S","Woodards","18/03/2017",13.9,3165,4,2,2,606,146.861538586252,1970,"Glen Eira",-37.9147,145.0645
"1522","Bentleigh East","24 Pasadena Cr",4,"h",1270000,"PI","hockingstuart","18/03/2017",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1523","Bentleigh East","20 Patricia St",4,"h",1076960.67115367,"S","Buxton","18/03/2017",13.9,3165,4,2,2,602,96,1950,"Glen Eira",-37.925,145.0772
"1524","Bentleigh East","71 Victor Rd",4,"h",1475000,"S","hockingstuart","18/03/2017",13.9,3165,4,2,2,674,146.861538586252,1970,"Glen Eira",-37.9272,145.0786
"1525","Bentleigh East","40 Waratah St",4,"t",950000,"PI","Buxton","18/03/2017",13.9,3165,4,2,1,450,146.861538586252,1940,"Glen Eira",-37.9133,145.0837
"1526","Bentleigh East","1/38 Kennedy St",4,"t",1045000,"S","Buxton","18/06/2016",13.9,3165,4,2,1,316,190,2010,"Glen Eira",-37.9198,145.0789
"1527","Bentleigh East","75 Latham St",3,"u",1131000,"S","hockingstuart","18/06/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1528","Bentleigh East","19 Ludwell Cr",3,"h",1e+06,"S","Buxton","18/06/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1529","Bentleigh East","3/14 Malane St",3,"h",750000,"PI","Hodges","18/06/2016",13.9,3165,3,2,1,188,146.861538586252,1970,"Glen Eira",-37.9193,145.0553
"1530","Bentleigh East","2/111 Marlborough St",3,"u",8e+05,"PI","Buxton","18/06/2016",13.9,3165,3,2,2,252,146.861538586252,1994,"Glen Eira",-37.9085,145.0683
"1531","Bentleigh East","2/119 Marlborough St",2,"u",655000,"S","hockingstuart","18/06/2016",13.9,3165,2,1,1,154,80,2000,"Glen Eira",-37.9079,145.0685
"1533","Bentleigh East","2/53 Moylan St",3,"h",835000,"S","Woodards","18/06/2016",13.9,3165,3,1,1,250,105,1980,"Glen Eira",-37.9087,145.0537
"1534","Bentleigh East","3b Noora Av",3,"t",884000,"S","Buxton","18/06/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1535","Bentleigh East","75 Orange St",3,"h",1140000,"S","hockingstuart","18/06/2016",13.9,3165,4,1,3,701,146.861538586252,1970,"Glen Eira",-37.9178,145.0815
"1536","Bentleigh East","18 Paloma St",2,"h",1120000,"S","hockingstuart","18/06/2016",13.9,3165,3,1,2,678,146.861538586252,1970,"Glen Eira",-37.9146,145.0767
"1537","Bentleigh East","31b Purtell St",4,"t",1465000,"S","Buxton","18/06/2016",13.9,3165,3,2,2,319,256,2015,"Glen Eira",-37.9256,145.0533
"1538","Bentleigh East","621 South Rd",3,"h",1076960.67115367,"SP","hockingstuart","18/06/2016",13.9,3165,3,2,3,607,139,1964,"Glen Eira",-37.9349,145.0527
"1539","Bentleigh East","24 Veronica St",3,"h",910000,"S","Buxton","18/06/2016",13.9,3165,3,1,1,587,96,1950,"Glen Eira",-37.9241,145.0763
"1540","Bentleigh East","2/14 Wamba Rd",3,"u",920000,"SP","Buxton","18/06/2016",13.9,3165,3,2,1,388,123,2007,"Glen Eira",-37.9329,145.053
"1541","Bentleigh East","14 Charles St",3,"t",935000,"S","hockingstuart","19/11/2016",13.9,3165,3,2,2,230,160,2012,"Glen Eira",-37.9179,145.0592
"1542","Bentleigh East","14 Florence St",3,"h",977000,"S","Buxton","19/11/2016",13.9,3165,3,1,2,543,163,1970,"Glen Eira",-37.9242,145.0705
"1543","Bentleigh East","1 Jassa St",3,"h",1352000,"S","Woodards","19/11/2016",13.9,3165,3,1,2,686,122,1950,"Glen Eira",-37.9113,145.0765
"1544","Bentleigh East","12 Millard St",4,"h",1115000,"SP","Buxton","19/11/2016",13.9,3165,4,2,2,575,160,1960,"Glen Eira",-37.9274,145.0654
"1545","Bentleigh East","4 Adrian St",3,"h",780000,"VB","hockingstuart","22/05/2016",13.9,3165,3,1,1,710,146.861538586252,1966,"Glen Eira",-37.9324,145.0577
"1546","Bentleigh East","21 Beddoe Av",2,"h",940000,"S","Buxton","22/05/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1547","Bentleigh East","40 Chesterville Dr",3,"h",1115000,"SP","hockingstuart","22/05/2016",13.9,3165,3,2,2,1080,146.861538586252,1970,"Glen Eira",-37.9233,145.0674
"1548","Bentleigh East","54 Elizabeth St",3,"h",1197000,"S","Buxton","22/05/2016",13.9,3165,3,1,2,692,147,1949,"Glen Eira",-37.9232,145.0563
"1550","Bentleigh East","1/26 Patricia St",3,"u",810000,"S","Woodards","22/05/2016",13.9,3165,3,2,1,316,146.861538586252,1950,"Glen Eira",-37.9245,145.0773
"1551","Bentleigh East","39 Shrewsbury St",4,"h",1365000,"PI","Marshall","22/05/2016",13.9,3165,4,1,1,582,151,1960,"Glen Eira",-37.9129,145.0598
"1553","Bentleigh East","10 Boronia St",4,"h",1698888,"S","hockingstuart","22/08/2016",13.9,3165,4,2,2,598,337,2006,"Glen Eira",-37.9138,145.0774
"1554","Bentleigh East","15a England St",4,"t",1300000,"PI","Buxton","22/08/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1555","Bentleigh East","15b England St",4,"t",1400000,"S","Buxton","22/08/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1556","Bentleigh East","2 Konrad St",4,"h",1076960.67115367,"SP","hockingstuart","22/08/2016",13.9,3165,4,2,2,605,146.861538586252,1970,"Glen Eira",-37.9268,145.0649
"1557","Bentleigh East","9b Latham St",4,"t",1260000,"PI","hockingstuart","22/08/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1558","Bentleigh East","20 McGuinness Rd",4,"h",1150000,"S","Buxton","22/08/2016",13.9,3165,4,2,2,639,146.861538586252,1970,"Glen Eira",-37.9258,145.075
"1560","Bentleigh East","76 Bignell Rd",3,"h",1e+06,"S","Woodards","24/09/2016",13.9,3165,3,1,2,576,146.861538586252,1970,"Glen Eira",-37.9362,145.0691
"1561","Bentleigh East","2/12 Brosa Av",3,"t",1150000,"S","hockingstuart","24/09/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1563","Bentleigh East","2/5 Connie St",3,"u",870000,"S","Woodards","24/09/2016",13.9,3165,3,2,2,365,150,2011,"Glen Eira",-37.9225,145.0754
"1564","Bentleigh East","23 Gardeners Rd",3,"h",1405000,"S","Woodards","24/09/2016",13.9,3165,3,1,1,764,146.861538586252,1970,"Glen Eira",-37.9143,145.0629
"1565","Bentleigh East","113a MacKie Rd",4,"h",1100000,"VB","Melbourne","24/09/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1566","Bentleigh East","123 MacKie Rd",3,"h",1161000,"S","hockingstuart","24/09/2016",13.9,3165,3,2,3,629,168,1950,"Glen Eira",-37.912,145.0752
"1567","Bentleigh East","44a McGuinness Rd",4,"t",1080000,"S","Buxton","24/09/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1568","Bentleigh East","11 Melball St",3,"h",1266000,"S","hockingstuart","24/09/2016",13.9,3165,3,1,3,676,146,1970,"Glen Eira",-37.9307,145.0531
"1569","Bentleigh East","2/8 Rudyard St",3,"t",7e+05,"PI","hockingstuart","24/09/2016",13.9,3165,3,2,2,194,200,2008,"Glen Eira",-37.9272,145.0801
"1570","Bentleigh East","8 Tudor St",3,"h",1076960.67115367,"SP","Buxton","24/09/2016",13.9,3165,3,1,2,697,146.861538586252,1970,"Glen Eira",-37.9185,145.0754
"1571","Bentleigh East","2A Barrani St",4,"t",1325000,"S","Buxton","25/02/2017",13.9,3165,4,4,2,363,265,2012,"Glen Eira",-37.9116,145.0686
"1572","Bentleigh East","2/16 Bessie St",3,"u",770000,"PI","hockingstuart","25/02/2017",13.9,3165,3,2,1,281,132,2005,"Glen Eira",-37.9257,145.0811
"1575","Bentleigh East","98 Brady Rd",4,"h",1175000,"S","RT","25/02/2017",13.9,3165,4,2,2,620,158,1980,"Glen Eira",-37.9281,145.0669
"1576","Bentleigh East","3 Forrest St",3,"h",1200000,"S","Woodards","25/02/2017",13.9,3165,3,1,1,640,120,1960,"Glen Eira",-37.916,145.0776
"1577","Bentleigh East","28a Latham St",3,"t",1076960.67115367,"S","hockingstuart","25/02/2017",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1578","Bentleigh East","88 MacKie Rd",4,"h",1370000,"SP","Gary","25/02/2017",13.9,3165,4,1,2,684,196,1970,"Glen Eira",-37.9147,145.0751
"1579","Bentleigh East","4 Mawby Rd",4,"h",1433500,"S","Hodges","25/02/2017",13.9,3165,4,1,1,725,186,1950,"Glen Eira",-37.9289,145.0502
"1580","Bentleigh East","370 McKinnon Rd",2,"h",1630000,"S","C21","25/02/2017",13.9,3165,2,1,2,724,146.861538586252,1970,"Glen Eira",-37.9135,145.0557
"1581","Bentleigh East","1/1124 North Rd",3,"t",1076960.67115367,"W","Ray","25/02/2017",13.9,3165,3,1,1,197,100,2010,"Glen Eira",-37.9096,145.0842
"1582","Bentleigh East","43 Wards Gr",3,"h",1360000,"SP","Woodards","25/02/2017",13.9,3165,3,1,3,676,146.861538586252,1970,"Glen Eira",-37.9233,145.0616
"1583","Bentleigh East","45 Chesterville Dr",4,"h",9e+05,"VB","Gary","26/07/2016",13.9,3165,3,1,2,741,146.861538586252,1970,"Glen Eira",-37.9229,145.0673
"1584","Bentleigh East","61 Molden St",3,"t",860000,"PI","hockingstuart","26/07/2016",13.9,3165,3,2,1,210,131,2005,"Glen Eira",-37.9075,145.061
"1585","Bentleigh East","75b Parkmore Rd",3,"t",1216000,"S","Buxton","26/07/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1586","Bentleigh East","30 Browns Rd",2,"u",772500,"S","Anderson","27/06/2016",13.9,3165,2,1,2,318,146.861538586252,1970,"Glen Eira",-37.9218,145.0563
"1587","Bentleigh East","15 Cormick St",3,"h",1001000,"S","Gary","27/06/2016",13.9,3165,3,1,1,598,146.861538586252,1970,"Glen Eira",-37.9216,145.073
"1588","Bentleigh East","3/2 Garden Rd",2,"u",715000,"S","hockingstuart","27/06/2016",13.9,3165,2,1,1,194,114,1995,"Glen Eira",-37.9107,145.0598
"1590","Bentleigh East","7 Larman St",3,"h",1155000,"S","Buxton","27/06/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1591","Bentleigh East","2/5 Pell St",3,"t",882000,"S","Ray","27/06/2016",13.9,3165,3,2,2,208,146.861538586252,1970,"Glen Eira",-37.9108,145.0794
"1592","Bentleigh East","41 Wards Gr",2,"h",1180000,"S","Buxton","27/06/2016",13.9,3165,2,1,1,687,146.861538586252,1970,"Glen Eira",-37.9234,145.0616
"1593","Bentleigh East","10a Yaralla Rd",4,"t",1076960.67115367,"S","Buxton","27/06/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1594","Bentleigh East","30A Almurta Rd",3,"t",840000,"S","Buxton","27/11/2016",13.9,3165,3,2,2,222,146.861538586252,1970,"Glen Eira",-37.9241,145.0668
"1596","Bentleigh East","335 Chesterville Rd",4,"h",1040000,"VB","Buxton","27/11/2016",13.9,3165,4,2,2,643,146.861538586252,1970,"Glen Eira",-37.9295,145.063
"1598","Bentleigh East","2/42 Gowrie St",3,"h",930000,"S","Buxton","27/11/2016",13.9,3165,3,2,2,258,146.861538586252,1970,"Glen Eira",-37.9162,145.0799
"1599","Bentleigh East","2/12 Hodgson Gr",3,"u",790000,"S","hockingstuart","27/11/2016",13.9,3165,3,1,2,406,100,1996,"Glen Eira",-37.9286,145.0737
"1600","Bentleigh East","5 Konrad St",3,"h",1040000,"S","Hodges","27/11/2016",13.9,3165,3,1,2,625,146.861538586252,1970,"Glen Eira",-37.927,145.0645
"1601","Bentleigh East","18 Patricia St",3,"h",1020000,"S","Nick","27/11/2016",13.9,3165,3,1,2,596,144,1960,"Glen Eira",-37.9251,145.0771
"1602","Bentleigh East","2 Sanicki Ct",3,"t",670000,"PI","Bayside","27/11/2016",13.9,3165,3,1,2,233,146.861538586252,1970,"Glen Eira",-37.9376,145.0784
"1604","Bentleigh East","10a Stratford Av",4,"t",1235000,"S","Buxton","27/11/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1605","Bentleigh East","2/25 Brooks St",3,"u",8e+05,"S","Woodards","28/05/2016",13.9,3165,3,2,2,261,146.861538586252,1970,"Glen Eira",-37.9163,145.0779
"1606","Bentleigh East","2/34 Browns Rd",4,"t",1120000,"PI","Buxton","28/05/2016",13.9,3165,3,2,2,209,146.861538586252,1970,"Glen Eira",-37.9213,145.0565
"1607","Bentleigh East","16a Daphne St",3,"t",970000,"VB","hockingstuart","28/05/2016",13.9,3165,3,2,2,321,146.861538586252,1970,"Glen Eira",-37.9181,145.0586
"1608","Bentleigh East","1/4 Daphne St",3,"t",787500,"S","Hodges","28/05/2016",13.9,3165,3,2,1,300,146.861538586252,1970,"Glen Eira",-37.9189,145.0584
"1610","Bentleigh East","24 Kurrajong St",3,"h",950000,"PI","Greg","28/05/2016",13.9,3165,3,1,1,598,146.861538586252,1970,"Glen Eira",-37.9129,145.0786
"1611","Bentleigh East","69 Lancaster St",4,"h",1600000,"S","Buxton","28/05/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1612","Bentleigh East","3b Manuka St",3,"h",886000,"S","Ray","28/05/2016",13.9,3165,3,2,1,185,122,2012,"Glen Eira",-37.9159,145.0787
"1613","Bentleigh East","25a Surrey St",4,"t",1210000,"S","Marshall","28/05/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1614","Bentleigh East","36a Barrington St",3,"t",780000,"PI","Buxton","28/08/2016",13.9,3165,3,2,1,209,146.861538586252,1970,"Glen Eira",-37.9131,145.07
"1615","Bentleigh East","38a Beddoe Av",3,"t",1076960.67115367,"S","Buxton","28/08/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1616","Bentleigh East","3 Belinda Ct",4,"h",1015000,"S","C21","28/08/2016",13.9,3165,4,2,3,625,198,1997,"Glen Eira",-37.9374,145.0726
"1617","Bentleigh East","10a Bevis St",4,"t",1200000,"PI","Marshall","28/08/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1618","Bentleigh East","1/3 Brady Rd",3,"u",830000,"S","Woodards","28/08/2016",13.9,3165,3,2,2,395,146.861538586252,2001,"Glen Eira",-37.9364,145.0649
"1619","Bentleigh East","9 Colin St",3,"h",1241000,"S","Hodges","28/08/2016",13.9,3165,3,1,1,643,146.861538586252,1970,"Glen Eira",-37.9237,145.0527
"1620","Bentleigh East","27 Connie St",4,"h",1255000,"S","Buxton","28/08/2016",13.9,3165,4,2,2,610,167,1950,"Glen Eira",-37.9207,145.0757
"1621","Bentleigh East","54a MacKie Rd",4,"t",1025000,"PI","Buxton","28/08/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1622","Bentleigh East","8 Marlborough St",3,"h",1320000,"S","Buxton","28/08/2016",13.9,3165,3,1,1,593,94,1950,"Glen Eira",-37.9178,145.067
"1623","Bentleigh East","1/39 Neville St",3,"h",870000,"S","Gary","28/08/2016",13.9,3165,3,2,1,326,133,1950,"Glen Eira",-37.9236,145.0545
"1625","Bentleigh East","4 Wingate St",4,"h",1472500,"S","hockingstuart","28/08/2016",13.9,3165,4,2,2,592,219,2013,"Glen Eira",-37.9351,145.0572
"1626","Bentleigh East","25 Anarth St",2,"h",640000,"PI","hockingstuart","30/07/2016",13.9,3165,2,2,2,298,118,2005,"Glen Eira",-37.908,145.0716
"1627","Bentleigh East","115 Bignell Rd",2,"h",1160000,"S","Buxton","30/07/2016",13.9,3165,2,1,2,750,146.861538586252,1970,"Glen Eira",-37.9325,145.0694
"1628","Bentleigh East","7a Cardiff St",4,"t",1210000,"S","hockingstuart","30/07/2016",13.9,3165,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1629","Bentleigh East","12 John St",4,"h",1306000,"S","Buxton","30/07/2016",13.9,3165,3,2,1,651,146.861538586252,1970,"Glen Eira",-37.919,145.0558
"1630","Bentleigh East","41 Mawby Rd",3,"h",1291000,"S","hockingstuart","30/07/2016",13.9,3165,3,1,2,635,146.861538586252,1970,"Glen Eira",-37.9291,145.0538
"1631","Box Hill","32 Margaret St",4,"h",1620000,"S","hockingstuart","3/09/2016",13.1,3128,4,2,2,697,255,1940,"Whitehorse",-37.8151,145.135
"1633","Box Hill","6/29 Barkly St",2,"u",645000,"S","McGrath","4/03/2017",13.1,3128,2,1,1,140,81,1965,"Whitehorse",-37.8271,145.1299
"1634","Box Hill","1/1 Cherryhinton St",2,"u",790000,"S","Noel","4/03/2017",13.1,3128,2,1,1,195,146.861538586252,1970,"Whitehorse",-37.826,145.129
"1635","Box Hill","4/425 Station St",4,"h",880000,"S","Ray","4/03/2017",13.1,3128,4,2,2,206,146.861538586252,2003,"Whitehorse",-37.828,145.1215
"1636","Box Hill","1 Jolie Gr",3,"h",1076960.67115367,"S","Christopher","4/06/2016",13.1,3128,3,2,2,651,146,1960,"Whitehorse",-37.8274,145.1306
"1638","Box Hill","43 Barkly St",3,"h",1076960.67115367,"PN","Ray","7/11/2016",13.1,3128,3,1,2,171,112,2013,"Whitehorse",-37.8256,145.1302
"1640","Box Hill","3/18 Standard Av",4,"t",1076960.67115367,"PI","Philip","8/10/2016",13.1,3128,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1641","Box Hill","18 Glenmore St",4,"h",1560000,"PI","Jellis","10/09/2016",13.1,3128,3,2,3,729,167,1905,"Whitehorse",-37.8233,145.1267
"1644","Box Hill","3 Alexander St",3,"h",1715000,"SP","Marshall","10/12/2016",13.1,3128,3,2,2,458,170,1950,"Whitehorse",-37.8257,145.1216
"1645","Box Hill","21 Barkly St",3,"h",1200000,"SP","Marshall","10/12/2016",13.1,3128,3,1,2,550,110,1950,"Whitehorse",-37.8275,145.1298
"1646","Box Hill","17 Combarton St",3,"h",1760000,"S","Fletchers","10/12/2016",13.1,3128,3,1,0,741,151,1910,"Whitehorse",-37.8258,145.1246
"1647","Box Hill","1/7 Glenmore St",1,"u",288000,"SP","hockingstuart","12/06/2016",13.1,3128,1,1,1,774,146.861538586252,1970,"Whitehorse",-37.8241,145.1262
"1648","Box Hill","15 Davey St",3,"h",948000,"S","Ray","12/11/2016",13.1,3128,3,1,2,384,108,1950,"Whitehorse",-37.8167,145.1373
"1650","Box Hill","19 Wavell St",3,"h",1412000,"S","Noel","12/11/2016",13.1,3128,3,1,1,590,146.861538586252,1970,"Whitehorse",-37.8274,145.1274
"1652","Box Hill","1/14 Barkly St",4,"t",975000,"VB","Lindellas","15/10/2016",13.1,3128,4,2,2,299,158,2008,"Whitehorse",-37.8282,145.1301
"1653","Box Hill","23 Bass St",3,"h",1325000,"S","Lindellas","15/10/2016",13.1,3128,3,1,1,702,134,1950,"Whitehorse",-37.827,145.1209
"1655","Box Hill","5 Wavell St",3,"h",1400000,"S","hockingstuart","15/10/2016",13.1,3128,3,2,1,643,159,1940,"Whitehorse",-37.8285,145.1272
"1656","Box Hill","22 William St",3,"h",1500000,"SP","Ray","15/10/2016",13.1,3128,3,1,2,664,106,1930,"Whitehorse",-37.8235,145.1276
"1657","Box Hill","55 Albion Rd",4,"h",1600000,"S","Fletchers","16/04/2016",13.1,3128,4,2,1,692,195,1890,"Whitehorse",-37.8247,145.1281
"1658","Box Hill","126 Carrington Rd",2,"u",616000,"S","Philip","16/07/2016",13.1,3128,3,1,1,155,146.861538586252,1970,"Whitehorse",-37.8193,145.1149
"1659","Box Hill","54 Watts St",4,"h",1661000,"S","Noel","16/07/2016",13.1,3128,4,2,2,729,146.861538586252,1970,"Whitehorse",-37.8143,145.1262
"1660","Box Hill","12 Barcelona St",4,"h",1461400,"S","Allens","17/09/2016",13.1,3128,3,2,2,780,235,1927,"Whitehorse",-37.8244,145.1319
"1661","Box Hill","2/4 Collins St",3,"u",775000,"S","Fletchers","17/09/2016",13.1,3128,3,1,1,211,108,1980,"Whitehorse",-37.8275,145.1232
"1662","Box Hill","12 Pendle St",4,"h",1506000,"S","hockingstuart","17/09/2016",13.1,3128,4,2,3,669,146.861538586252,1970,"Whitehorse",-37.818,145.1354
"1663","Box Hill","33 Pendle St",4,"h",1670000,"S","Noel","17/09/2016",13.1,3128,4,4,4,707,162,1926,"Whitehorse",-37.8166,145.1354
"1664","Box Hill","4/7 James St",2,"u",1076960.67115367,"SN","Mandy","18/03/2017",13.1,3128,2,1,2,188,200,1992,"Whitehorse",-37.8241,145.1217
"1666","Box Hill","1/11 Sweetland Rd",2,"u",1076960.67115367,"PI","Woodards","18/03/2017",13.1,3128,2,1,1,125,73,1960,"Whitehorse",-37.8241,145.1336
